"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","Probable Pitcher","Batting Order"
"35186-79273","3B","Vladimir","Vladimir Guerrero Jr.","Guerrero Jr.","4.1875","8","2700","MIN@TOR","TOR","MIN","","","","","5"
"35186-79277","1B","Rowdy","Rowdy Tellez","Tellez","9.086666870117188","30","2700","MIN@TOR","TOR","MIN","","","","","6"
"35186-38324","C","Jorge","Jorge Alfaro","Alfaro","8.555999755859375","25","2700","MIA@CHC","MIA","CHC","","","","",""
"35186-13799","1B","Matt","Matt Adams","Adams","5.651723927464978","29","2700","WAS@MIL","WAS","MIL","IL","Shoulder","","",""
"35186-12863","3B","Todd","Todd Frazier","Frazier","6.325000127156575","12","2700","NYM@SDP","NYM","SDP","","","","",""
"35186-23107","OF","Jorge","Jorge Soler","Soler","10.454285539899553","35","2700","KAN@HOU","KAN","HOU","","","","","5"
"35186-12977","1B","Eric","Eric Thames","Thames","7.2363637288411455","33","2700","WAS@MIL","MIL","WAS","","","","","7"
"35186-17097","OF","Brandon","Brandon Nimmo","Nimmo","7.746874809265137","32","2700","NYM@SDP","NYM","SDP","","","","",""
"35186-5945","3B","David","David Freese","Freese","6.230769230769231","26","2700","ATL@LOS","LOS","ATL","","","","",""
"35186-12123","C","Wilson","Wilson Ramos","Ramos","7.112500190734863","32","2700","NYM@SDP","NYM","SDP","","","","",""
"35186-5181","C","Yadier","Yadier Molina","Molina","8.959375381469727","32","2600","PHI@STL","STL","PHI","","","","",""
"35186-38016","1B","Jesus","Jesus Aguilar","Aguilar","5.862500190734863","32","2600","WAS@MIL","MIL","WAS","","","","","6"
"35186-73871","C","Carson","Carson Kelly","Kelly","6.2526317395662","19","2600","ARI@TAM","ARI","TAM","","","","","0"
"35186-84133","OF","Franmil","Franmil Reyes","Reyes","8.182856968470983","35","2600","NYM@SDP","SDP","NYM","","","","",""
"35186-13638","2B","Wilmer","Wilmer Flores","Flores","6.35","30","2600","ARI@TAM","ARI","TAM","","","","","6"
"35186-65991","C","Pedro","Pedro Severino","Severino","8.5625","16","2600","BOS@BAL","BAL","BOS","","","","","8"
"35186-13858","C","Christian","Christian Vazquez","Vazquez","8.918518631546586","27","2600","BOS@BAL","BOS","BAL","","","","","6"
"35186-84742","C","Willians","Willians Astudillo","Astudillo","8.981249809265137","16","2600","MIN@TOR","MIN","TOR","IL","Hamstring","","","0"
"35186-68525","3B","J.D.","J.D. Davis","Davis","7.085714067731585","28","2600","NYM@SDP","NYM","SDP","","","","",""
"35186-5114","OF","Curtis","Curtis Granderson","Granderson","6.9689657277074355","29","2600","MIA@CHC","MIA","CHC","","","","",""
"35186-6140","SS","Sean","Sean Rodriguez","Rodriguez","12.466667175292969","6","2600","PHI@STL","PHI","STL","","","","",""
"35186-6282","C","Tyler","Tyler Flowers","Flowers","7.8555552164713545","18","2500","ATL@LOS","ATL","LOS","","","","",""
"35186-60631","OF","Kyle","Kyle Schwarber","Schwarber","7.524999891008649","28","2500","MIA@CHC","CHC","MIA","","","","","8"
"35186-79141","1B","Ryan","Ryan O'Hearn","O'Hearn","7.636666870117187","30","2500","KAN@HOU","KAN","HOU","","","","","6"
"35186-73023","OF","Teoscar","Teoscar Hernandez","Hernandez","7.231249809265137","32","2500","MIN@TOR","TOR","MIN","","","","","8"
"35186-38249","OF","Steven","Steven Souza Jr.","Souza Jr.","7.843055725097656","72","2500","ARI@TAM","ARI","TAM","IL","Knee","","","0"
"35186-16950","3B","Miguel","Miguel Sano","Sano","9.252113019916374","71","2500","MIN@TOR","MIN","TOR","IL","Heel","","","0"
"35186-53844","3B","Matt","Matt Duffy","Duffy","8.55151552142519","132","2500","ARI@TAM","TAM","ARI","IL","Hamstring","","","0"
"35186-14018","C","John Ryan","John Ryan Murphy","Murphy","6.806250095367432","16","2500","ARI@TAM","ARI","TAM","","","","","8"
"35186-54049","1B","Aledmys","Aledmys Diaz","Diaz","7.247058644014246","17","2500","KAN@HOU","HOU","KAN","","","","",""
"35186-71507","1B","Yuli","Yuli Gurriel","Gurriel","8.403225806451612","31","2500","KAN@HOU","HOU","KAN","","","","",""
"35186-12168","2B","Starlin","Starlin Castro","Castro","6.566666574189157","33","2500","MIA@CHC","MIA","CHC","","","","",""
"35186-68531","OF","Brian","Brian Anderson","Anderson","7.09375","32","2500","MIA@CHC","MIA","CHC","","","","",""
"35186-13368","OF","Billy","Billy Hamilton","Hamilton","7.170000203450521","30","2400","KAN@HOU","KAN","HOU","","","","","9"
"35186-13390","SS","Miguel","Miguel Rojas","Rojas","6.1870968726373485","31","2400","MIA@CHC","MIA","CHC","","","","",""
"35186-11344","C","Jason","Jason Castro","Castro","9.186666870117188","15","2400","MIN@TOR","MIN","TOR","","","","","8"
"35186-73832","2B","Joey","Joey Wendle","Wendle","3.5","8","2400","ARI@TAM","TAM","ARI","IL","Wrist","","","0"
"35186-5243","C","Brian","Brian McCann","McCann","11.133333333333333","15","2400","ATL@LOS","ATL","LOS","","","","",""
"35186-5311","C","Kurt","Kurt Suzuki","Suzuki","10.299999660915798","18","2400","WAS@MIL","WAS","MIL","","","","",""
"35186-85285","1B","Nate","Nate Lowe","Lowe","5.149999936421712","6","2400","ARI@TAM","TAM","ARI","","","","","5"
"35186-13691","OF","Ender","Ender Inciarte","Inciarte","6.996969512014678","33","2400","ATL@LOS","ATL","LOS","","","","",""
